Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
vettel,ferrari,83.348,81.944,81.838,3.0,1.0,Australian Grand Prix,True,1303.99,1952.99,0
hamilton,mercedes,82.824,82.051,81.164,1.0,2.0,Australian Grand Prix,True,1301.42,2001.07,0
raikkonen,ferrari,83.096,82.507,81.828,2.0,3.0,Australian Grand Prix,True,1280.76,1953.56,0
ricciardo,red_bull,83.494,82.897,82.152,8.0,4.0,Australian Grand Prix,True,1265.5,1924.12,0
alonso,mclaren,83.597,83.692,nan,10.0,5.0,Australian Grand Prix,True,1286.95,1845.21,0
max_verstappen,red_bull,83.483,82.416,81.879,4.0,6.0,Australian Grand Prix,True,1258.5,1923.0,0
hulkenberg,renault,83.782,83.544,83.532,7.0,7.0,Australian Grand Prix,True,1220.43,1880.33,0
bottas,mercedes,83.686,82.089,nan,15.0,8.0,Australian Grand Prix,True,1229.39,2008.11,0
vandoorne,mclaren,84.073,83.853,nan,11.0,9.0,Australian Grand Prix,True,1203.27,1847.66,0
sainz,renault,83.529,83.061,83.577,9.0,10.0,Australian Grand Prix,True,1219.26,1879.77,0
perez,force_india,84.344,84.005,nan,12.0,11.0,Australian Grand Prix,True,1222.08,1881.56,0
ocon,force_india,84.503,84.786,nan,14.0,12.0,Australian Grand Prix,True,1223.27,1884.01,0
leclerc,sauber,84.636,nan,nan,18.0,13.0,Australian Grand Prix,True,1205.56,1804.17,0
stroll,williams,84.464,84.23,nan,13.0,14.0,Australian Grand Prix,True,1199.57,1799.67,0
brendon_hartley,toro_rosso,84.532,nan,nan,16.0,15.0,Australian Grand Prix,True,1201.5,1821.12,0
grosjean,haas,83.671,83.468,83.339,6.0,nan,Australian Grand Prix,True,1220,1840,0
kevin_magnussen,haas,83.909,83.3,83.187,5.0,nan,Australian Grand Prix,True,1220,1840,0
gasly,toro_rosso,85.295,nan,nan,20.0,nan,Australian Grand Prix,True,1200,1819.48,0
ericsson,sauber,84.556,nan,nan,17.0,nan,Australian Grand Prix,True,1200,1801.18,0
