Name,Elo
hamilton,1661.12
vettel,1370.17
alonso,1305.72
raikkonen,1367.51
max_verstappen,1580.07
ricciardo,1373.09
perez,1426.76
bottas,1257.06
hulkenberg,1240.44
sainz,1326.19
kevin_magnussen,1134.29
grosjean,1112.14
ocon,1384.17
stroll,1476.29
ericsson,1252.6
gasly,1234.25
brendon_hartley,1215.46
leclerc,1261.56
sirotkin,1221.5
vandoorne,1270.51
kvyat,1267.61
norris,1245.13
albon,1290.08
giovinazzi,1252.7
russell,1219.73
kubica,1171.0
latifi,1201.44
aitken,1200
pietro_fittipaldi,1197.73
tsunoda,1164.35
mick_schumacher,1217.12
mazepin,1189.04
zhou,1222.13
de_vries,1200.49
,1200
sargeant,1181.0
piastri,1220.7
lawson,1192.74
bearman,1274.11
colapinto,1215.33
doohan,1189.59
antonelli,1211.52
bortoleto,1194.4
hadjar,1147.46
arvid_lindblad,1199.69
